user_id,win_rate,lose_rate,draw_rate,game_count
Bier-trinken,51.0,43.0,6.0,100.0
EL_TEMPANO,48.0,50.0,2.0,100.0
yntenot21,25.0,50.0,25.0,4.0
V4lium,0.0,100.0,0.0,9.0
dosmenosuno,51.0,44.0,5.0,100.0
Lulor,54.0,42.0,4.0,100.0
MatLan_Sopan,55.0,43.0,2.0,100.0
Mehmet_7,47.0,47.0,6.0,100.0
Stevenbaker91,45.0,52.0,3.0,100.0
Mr-KARTAL,46.0,51.0,3.0,100.0
Chen7151980,45.0,51.0,4.0,100.0
drinkestain,33.0,50.0,16.0,18.0
Irbis_zp,16.0,80.0,4.0,75.0
kingZkaspa,57.0,40.0,2.0,100.0
zulkarnianil,55.0,43.0,2.0,100.0
rosealec,53.0,45.0,2.0,100.0
Nas115,49.0,47.0,4.0,100.0
lostmyqueen,48.0,50.0,2.0,100.0
IzbasarovTimur1707,54.0,42.0,4.0,100.0
JOMERA,48.0,46.0,6.0,100.0
EggBag,43.0,55.0,2.0,100.0
F7-F8,15.0,76.0,7.0,39.0
ar2rb,38.0,57.0,4.0,100.0
kingwolf1234,72.0,27.0,0.0,54.0
RuslanFromUfa,61.0,22.0,16.0,54.0
waiwaiwaip,46.0,51.0,3.0,100.0
LEKOFCHESS,0.0,100.0,0.0,15.0
adv3,66.0,33.0,0.0,9.0
lengvar,45.0,48.0,7.0,100.0
Sbrao89,37.0,55.0,8.0,100.0
teoberliches83,54.0,44.0,2.0,100.0
Chessiscool1972,33.0,66.0,0.0,9.0
Dimonzza,56.0,44.0,0.0,100.0
Mauro-39,43.0,51.0,6.0,100.0
IceDweller,44.0,48.0,6.0,87.0
helvetia,51.0,47.0,2.0,100.0
bor933,47.0,47.0,4.0,69.0
slavadeq,31.0,52.0,15.0,57.0
axolm,49.0,48.0,3.0,100.0
Paidjo69,42.0,53.0,5.0,100.0
mogwai23,53.0,42.0,5.0,100.0
chesstime,56.0,33.0,10.0,100.0
neslisah118815,0.0,0.0,100.0,3.0
Dirki04,56.0,44.0,0.0,100.0
VK_ole,43.0,54.0,3.0,100.0
Maciej_zz,10.0,88.0,2.0,100.0
Hemmuhil15,38.0,56.0,6.0,100.0
pkruser1,56.0,36.0,6.0,90.0
nikleshchess,56.0,36.0,7.0,100.0
algrearat,68.0,32.0,0.0,75.0
PinkieTwinkie,40.0,52.0,8.0,100.0
Yeraboina,46.0,45.0,9.0,100.0
roka-schirg,52.0,44.0,4.0,100.0
no-name_2734,75.0,25.0,0.0,24.0
kiepa,42.0,55.0,3.0,100.0
Amirreza220,47.0,50.0,3.0,100.0
mr_iuz,0.0,100.0,0.0,3.0
Sanuchess1729,0.0,100.0,0.0,9.0
WildKnight77,47.0,50.0,3.0,100.0
qvc_malding,48.0,48.0,4.0,100.0
IiroRantal,47.0,41.0,12.0,100.0
Unknownplayer101010,56.0,40.0,4.0,75.0
Focalius,43.0,54.0,3.0,100.0
bala1955,41.0,58.0,0.0,36.0
sgsgzh,54.0,42.0,4.0,100.0
Recolecto-Minas,59.0,37.0,4.0,100.0
Littoral,60.0,38.0,2.0,100.0
AlstonSabastian,76.0,15.0,7.0,39.0
vlada631271,48.0,49.0,3.0,100.0
mad_lord_punt,35.0,64.0,1.0,100.0
Jovin8D,48.0,48.0,4.0,100.0
Maus7,71.0,18.0,11.0,100.0
sigb98,41.0,50.0,9.0,100.0
G16N23,51.0,44.0,4.0,49.0
clement80470,20.0,80.0,0.0,5.0
tyskie13,55.0,39.0,6.0,100.0
jobi_san2s,54.0,45.0,1.0,100.0
Malnoad,53.0,46.0,1.0,100.0
kauancarloscs,47.0,41.0,12.0,100.0
Amenhotep-Best,52.0,41.0,7.0,100.0
RafaaFavaretto,44.0,49.0,7.0,100.0
AustinPowersevich,0.0,100.0,0.0,3.0
Mokotete,0.0,100.0,0.0,3.0
BARmonse,52.0,46.0,2.0,100.0
legault,48.0,49.0,3.0,100.0
zuzia0706,48.0,46.0,6.0,100.0
Ojaykings,50.0,48.0,2.0,100.0
Hypnagogikus,55.0,38.0,7.0,100.0
ElVergax,48.0,48.0,4.0,100.0
serg34rus,33.0,65.0,2.0,100.0
utajipanga,37.0,62.0,0.0,24.0
TexnoGarri,50.0,50.0,0.0,24.0
szabla,62.0,28.0,10.0,100.0
siavashkb2001,33.0,60.0,7.0,100.0
ppetru440,44.0,54.0,2.0,100.0
NaiconX,43.0,54.0,3.0,100.0
LeonidSmirnov,39.0,52.0,9.0,100.0
ItIsAsItIs,56.0,35.0,9.0,100.0
Chicastles6,55.0,43.0,2.0,100.0
Mikael22122021,56.0,41.0,2.0,100.0
usmanahmad,63.0,36.0,0.0,99.0
franchetti,44.0,47.0,9.0,100.0
henrik9002,37.0,37.0,25.0,24.0
BSGPoland,44.0,49.0,7.0,100.0
ly0nchik,42.0,53.0,3.0,78.0
coldandwet,54.0,43.0,3.0,100.0
MusaSongurBoun,38.0,60.0,2.0,100.0
stanislavce,0.0,100.0,0.0,9.0
malialtan,57.0,28.0,14.0,21.0
bryan01331,61.0,38.0,0.0,54.0
TheBadGuy1999,44.0,49.0,7.0,100.0
Tom_Adailton,46.0,45.0,9.0,100.0
noob2000,39.0,56.0,5.0,100.0
Bodnariuc_co,53.0,42.0,3.0,84.0
Hzereny,50.0,44.0,5.0,54.0
chronoiam,49.0,51.0,0.0,100.0
Esplanade_NK,48.0,50.0,2.0,100.0
oscaruuu123,0.0,100.0,0.0,6.0
coconutball,55.0,35.0,10.0,100.0
antcry,63.0,30.0,7.0,100.0
Jojo993,49.0,50.0,1.0,100.0
deniz-oluklu,48.0,46.0,6.0,100.0
SColzy2011,61.0,35.0,4.0,100.0
FernandoRacing,53.0,45.0,2.0,100.0
Asham1224,54.0,41.0,5.0,100.0
Albertbtrbtr79_LTC,48.0,49.0,3.0,100.0
DGix,41.0,53.0,6.0,100.0
PraveenGurjar721,50.0,48.0,2.0,100.0
alpertuna38,0.0,100.0,0.0,1.0
tstypula,48.0,52.0,0.0,100.0
nizgel01,30.0,61.0,9.0,100.0
Ovopodre,46.0,54.0,0.0,100.0
Rika_40,57.0,42.0,0.0,84.0
rosebud1h,56.0,40.0,3.0,100.0
pellazgu,46.0,50.0,4.0,100.0
nabbbajit,52.0,46.0,2.0,100.0
icegood,66.0,33.0,0.0,36.0
Msightly,46.0,47.0,7.0,100.0
Brandbi,35.0,56.0,9.0,100.0
SZFO_KING_69,51.0,45.0,4.0,100.0
elmiraqurbanova,59.0,39.0,2.0,100.0
Judgenew2020,48.0,48.0,4.0,100.0
Amirmahdi1415,38.0,55.0,7.0,100.0
vibhor_124,43.0,54.0,3.0,100.0
spope2,44.0,53.0,3.0,100.0
jojobrech,47.0,48.0,5.0,100.0
JunJabs,49.0,48.0,3.0,100.0
Manthan_01,0.0,100.0,0.0,2.0
Antonio_Maria,0.0,100.0,0.0,6.0
DebasishPra,33.0,44.0,22.0,27.0
bushido2,37.0,61.0,2.0,100.0
RaI123,47.0,46.0,7.0,100.0
Wahyudii_KabBogor,47.0,51.0,2.0,100.0
doteps,48.0,48.0,4.0,100.0
GUNEY1334,45.0,50.0,5.0,100.0
Murinhor,51.0,47.0,2.0,100.0
sharp-trickster,54.0,43.0,3.0,100.0
CJCochran22,0.0,100.0,0.0,3.0
GARAYO,36.0,61.0,3.0,100.0
cacholin2020,80.0,12.0,6.0,93.0
HAVOC_Creator,51.0,47.0,2.0,100.0
De_General,52.0,47.0,1.0,100.0
mafty-e4hogs,30.0,69.0,0.0,69.0
giacomolo,46.0,49.0,5.0,100.0
Zilli_Vanilli,63.0,32.0,5.0,100.0
Sobolew,46.0,45.0,9.0,100.0
sergei1605,45.0,54.0,1.0,100.0
BlackRook7,50.0,36.0,14.0,100.0
amur79,55.0,38.0,7.0,100.0
Antonio_Baquero,57.0,37.0,5.0,100.0
Sarysh,49.0,47.0,4.0,100.0
photorin,52.0,41.0,7.0,100.0
kawewatexpertz,51.0,36.0,13.0,100.0
DVlad,64.0,28.0,7.0,100.0
Vados73,62.0,34.0,4.0,100.0
Hoiko20,47.0,51.0,2.0,100.0
nupa3,51.0,42.0,7.0,100.0
DaviAugusto209,33.0,66.0,0.0,3.0
lopez89,43.0,52.0,5.0,100.0
benlarbi53,56.0,39.0,5.0,100.0
SohanBachhety,47.0,51.0,2.0,100.0
Costicadeco,44.0,53.0,3.0,100.0
seaseko,44.0,53.0,3.0,100.0
urgencli,47.0,47.0,6.0,100.0
olenamol,56.0,42.0,1.0,100.0
owencdf,41.0,52.0,7.0,100.0
Abdo0zeen202,47.0,46.0,7.0,100.0
gokdemir,57.0,33.0,9.0,63.0
MEnesAvukat,43.0,53.0,4.0,100.0
yungjeep,0.0,50.0,50.0,6.0
buyvol44,0.0,100.0,0.0,3.0
affect11,55.0,33.0,11.0,54.0
NextGoofyCat,33.0,33.0,33.0,9.0
arrieta5,51.0,47.0,2.0,100.0
Ulfkar,28.0,71.0,0.0,21.0
BugsBunny_1606,43.0,50.0,7.0,100.0
sajjad7171,50.0,42.0,8.0,100.0
ND211003,56.0,39.0,5.0,100.0
Twitch7_Mile,100.0,0.0,0.0,3.0
vmkj,59.0,31.0,9.0,66.0
Dima_Shevchuk_91,57.0,33.0,9.0,100.0
zollbeamter,45.0,50.0,5.0,100.0
jawara_anjungan,25.0,75.0,0.0,36.0
cs43,47.0,50.0,3.0,100.0
whos_that_magnus_guy,25.0,50.0,25.0,12.0
LuxInterior,53.0,43.0,4.0,100.0
eslam2018,48.0,47.0,5.0,100.0
TheFirefighter,42.0,57.0,0.0,21.0
ateliere,52.0,42.0,6.0,100.0
miquella2463,61.0,28.0,10.0,100.0
fabio2134,52.0,46.0,2.0,100.0
Giulio19031975,51.0,49.0,0.0,100.0
