user_id,blitz_rating
Gatotkoco995,2304.0
Agron,1934.0
tempoocioso,2005.0
Pirschei,1464.0
MichaelMBrillantes,1704.0
datajunkie,2775.0
l3ab-idin,1807.0
Sallaia,1082.0
Javpine597,2251.0
alienvspredator,1190.0
HvChessGm,1204.0
mahmoud_abdellatif,1053.0
colorado7683,599.0
winx_m,2930.0
FaustiOro,2878.0
josmicar,708.0
alnikgul,1777.0
Hunterrun,2416.0
ping0062,819.0
pavelarshinn90,1014.0
naive_knight,1192.0
behrad98,2441.0
Ahmet-Tunahan,2248.0
DruzhkovVN,947.0
lublualiyu,737.0
Dmorineau,1473.0
iyad2017,860.0
TolloT,2420.0
Narsil737,1212.0
Koninaleks,1942.0
BWilliams001,1502.0
Josue_Daza,1406.0
KaiSolter,1710.0
darlinchess,2007.0
wcarmona,1487.0
tevydavid,1594.0
syed_nawfel,645.0
Wladi-71,598.0
Adrian_Chucua,1748.0
Oleksandr_11,2294.0
ZICK80,1909.0
juanfernando96,1728.0
StephenWilly,2628.0
Taladan,2460.0
anand10m,562.0
NastyGunz,970.0
larolarolang,2257.0
khairinasir,2004.0
Blochsky,958.0
JyGo,1515.0
AnnelizzeRademacher,1179.0
chessknocker7,2605.0
jordy28260,660.0
custom68,804.0
gameoftage,2412.0
Juandi2016,800.0
Gigante64,2003.0
BVB1908,2816.0
mzauber,1107.0
X-Berg,2335.0
MarkG514,967.0
mrapo9,694.0
vlh,1951.0
MisterOnua,1990.0
Benbasat,2750.0
JaydenGomes01,698.0
Chessli_64,755.0
Lozmeister,762.0
dArTalgnan,2043.0
Cupid1,1602.0
SchachTeng,969.0
TrentAllgood,1827.0
Rommel_Sismo-An_06,2305.0
daemonthegoat,996.0
Andep123,2348.0
Saturn_1119,1010.0
DaRRc,1613.0
Casrem,516.0
Bakyt83kg,2244.0
AprendizJesus,1174.0
linoarteaga,2282.0
Alirezaaaaaaa7,1453.0
nevermind1991,2559.0
thejc50,2164.0
somzt,1861.0
soultravel,1807.0
Now_Suffer,2627.0
mohamad_reza1391,1532.0
eylooo16,668.0
ZeruHmyz,2435.0
abedrteezy,2616.0
wiliam21,1174.0
Nabin12,1937.0
haggytheman,1172.0
MartinLorenzini,
Temps799,699.0
Moriarty333333,1092.0
HeKrOmAnT,2409.0
Fernando180317,524.0
Mirzad_786,1500.0
PraveenGPK1206,738.0
Joker849,803.0
Ernest0-0,564.0
zeytin57,1983.0
Sinerkin,1235.0
GK1963,2766.0
Sys87,695.0
GodieACT-2,1540.0
Raiden_ShogunC3,2624.0
vania457,2322.0
Rettcar,1290.0
lIlIllllIllllIII,2412.0
pphani,1455.0
stlbucket,1895.0
Kazimierz3377,1200.0
ALONGUS,2314.0
Coopdaddyusa,640.0
jdwong58,2462.0
Anapher,2367.0
Lew68,1942.0
inaira_jain,422.0
mah189,782.0
Darknessbottle,1503.0
itulubela,1034.0
ReluctantCannibal,2841.0
mumbi_githua-5,929.0
JeremLS,526.0
Soham0705,2730.0
AitbekM,1050.0
Anon_ym_ous,2702.0
Bjorn2468,1123.0
LaYucaReyChess,2462.0
Eric-SK-Schwandorf,2327.0
TheThirdKing,1168.0
waseemanwar,975.0
Hamza3335,574.0
alexeishmidt,1182.0
DrKerfuffle,2485.0
Kusudaaina030,2427.0
rojoril,1493.0
hbas4530,1240.0
Ekvip,2438.0
Zinner_Override,2625.0
chmnm,1976.0
IsmaJS,1014.0
reeva_tagadiya,769.0
leekenshi,818.0
gemmita22,642.0
royinin,585.0
weekendwoodpusher,1733.0
blindcrocodile,2627.0
hungzhao,2608.0
Iwantogotoswizerland,2486.0
sergeititkov,2247.0
Herkington,2212.0
resiliente99,2801.0
Blessings03,1234.0
nightfall1941,2354.0
partyofsix,1013.0
raznodel,1746.0
Mcvas25,801.0
pichibart,552.0
warrior5191,2663.0
ashi1324,1406.0
SorceressFern3,2166.0
sergiosf97,
Chewbacca18,2781.0
DelborN,1116.0
castanedastral,2506.0
quiendice75,1712.0
condorcanqui_63,2025.0
jasithchess2021,1482.0
NicolasS1000,1510.0
Litseralex,1973.0
PerroTropical,1420.0
salva_cgu,1052.0
r10385_9,615.0
ClassPlayer04,2644.0
Gennadiy300iq,1227.0
jamatta,1834.0
Mat-Chucho,956.0
z2win,2314.0
just4funwhenborred,1028.0
wthimerht,1610.0
Otxariturralde,1147.0
EraserGodzilla,2732.0
Valentin_59,1910.0
ZhohoFF,2661.0
Igrochishkaherov73,1028.0
AKHILDEVIL,1034.0
kitikita123,1598.0
spielbrecher,1814.0
davmaham,2075.0
marcomira,1303.0
blainewilson,1595.0
vvrtixsen,2626.0
ValidAlekhine,2500.0
