user_id,blitz_rating,win_rate,lose_rate,draw_rate,game_count
Gatotkoco995,2304.0,59.0,38.0,3.0,100
Agron,1934.0,48.0,50.0,2.0,100
tempoocioso,2005.0,48.0,52.0,0.0,100
Pirschei,1464.0,40.0,50.0,10.0,100
MichaelMBrillantes,1704.0,42.0,52.0,6.0,100
datajunkie,2775.0,50.0,37.0,13.0,100
l3ab-idin,1807.0,40.0,53.0,7.000000000000001,100
Sallaia,1082.0,48.0,50.0,2.0,100
Javpine597,2251.0,55.00000000000001,42.0,3.0,100
alienvspredator,1190.0,28.999999999999996,68.0,3.0,100
HvChessGm,1204.0,49.0,50.0,1.0,100
mahmoud_abdellatif,1053.0,50.0,45.0,5.0,100
colorado7683,599.0,41.0,54.0,5.0,100
winx_m,2930.0,73.0,18.0,9.0,100
FaustiOro,2878.0,67.0,25.0,8.0,100
josmicar,708.0,34.0,65.0,1.0,100
alnikgul,1777.0,38.0,59.0,3.0,100
Hunterrun,2416.0,51.0,42.0,7.000000000000001,100
ping0062,819.0,54.0,38.0,8.0,100
pavelarshinn90,1014.0,52.0,44.0,4.0,100
naive_knight,1192.0,47.0,52.0,1.0,100
behrad98,2441.0,44.0,54.0,2.0,100
Ahmet-Tunahan,2248.0,51.0,43.0,6.0,100
DruzhkovVN,947.0,50.0,50.0,0.0,100
lublualiyu,737.0,50.0,46.0,4.0,100
Dmorineau,1473.0,46.0,45.0,9.0,100
iyad2017,860.0,22.22222222222222,77.77777777777779,0.0,18
TolloT,2420.0,49.0,46.0,5.0,100
Narsil737,1212.0,42.0,54.0,4.0,100
Koninaleks,1942.0,46.0,45.0,9.0,100
BWilliams001,1502.0,54.0,40.0,6.0,100
Josue_Daza,1406.0,47.0,47.0,6.0,100
KaiSolter,1710.0,100.0,0.0,0.0,2
darlinchess,2007.0,49.0,48.0,3.0,100
wcarmona,1487.0,53.0,40.0,7.000000000000001,100
tevydavid,1594.0,48.0,51.0,1.0,100
syed_nawfel,645.0,46.0,53.0,1.0,100
Wladi-71,598.0,47.0,53.0,0.0,100
Adrian_Chucua,1748.0,57.99999999999999,38.0,4.0,100
Oleksandr_11,2294.0,37.0,61.0,2.0,100
ZICK80,1909.0,44.0,50.0,6.0,100
juanfernando96,1728.0,38.0,57.99999999999999,4.0,100
StephenWilly,2628.0,50.0,47.0,3.0,100
Taladan,2460.0,42.0,54.0,4.0,100
anand10m,562.0,39.0,51.0,10.0,100
NastyGunz,970.0,60.0,39.0,1.0,100
larolarolang,2257.0,37.0,56.99999999999999,6.0,100
khairinasir,2004.0,50.0,45.0,5.0,100
Blochsky,958.0,42.0,56.99999999999999,1.0,100
